id,problem_name,,explanation,output,original_code,13,comment_less_code
1,"C ""Hello, World!"" Program",25,"How ""Hello, World!"" program works?
The #include is a preprocessor command that tells the compiler to include the contents of stdio.h (standard input and output) file in the program.
The stdio.h file contains functions such as scanf() and printf() to take input and display output respectively.
If you use the printf() function without writing #include <stdio.h>, the program will not compile.
The execution of a C program starts from the main() function.
printf() is a library function to send formatted output to the screen. In this program, printf() displays Hello, World! text on the screen.
The return 0; statement is the ""Exit status"" of the program. In simple terms, the program ends with this statement.",,"#include <stdio.h>
int main() {
   // printf() displays the string inside quotation
   printf(""Hello, World!"");
   return 0;
}",126,"#include <stdio.h>
int main() {
printf(""Hello, World!"");
return 0;
}"
2,C Program to Print an Integer (Entered by the User),51,"In this program, an integer variable number is declared.

int number;


Then, the user is asked to enter an integer number. This number is stored in the number variable.

printf(""Enter an integer: "");
scanf(""%d"", &number);

Finally, the value stored in number is displayed on the screen using printf().

printf(""You entered: %d"", number);",,"#include <stdio.h>
int main() {
int number;
printf(""Enter an integer: "");
// reads and stores input
scanf(""%d"", &number);
// displays output
printf(""You entered: %d"", number);
return 0;
}",187,"#include <stdio.h>
int main() {
int number;
printf(""Enter an integer: "");
scanf(""%d"", &number);
printf(""You entered: %d"", number);
return 0;
}"
3,C Program to Add Two Integers,29,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-input-output
• https://www.programiz.com/c-programming/c-operators

In this program, the user is asked to enter two integers. These two integers are stored in variables number1 and number2 respectively.
printf(""Enter two integers: "");
scanf(""%d %d"", &number1, &number2);
Then, these two numbers are added using the + operator, and the result is stored in the sum variable.
sum = number1 + number2;
Add Two Numbers
Finally, the printf() function is used to display the sum of numbers.
printf(""%d + %d = %d"", number1, number2, sum);",,"#include <stdio.h>
int main() {
int number1, number2, sum;
printf(""Enter two integers: "");
scanf(""%d %d"", &number1, &number2);
// calculate the sum
sum = number1 + number2;
printf(""%d + %d = %d"", number1, number2, sum);
return 0;
}",231,"#include <stdio.h>
int main() {
int number1, number2;
printf(""Enter two integers: "");
scanf(""%d %d"", &number1, &number2);
int sum = number1 + number2;
printf(""%d + %d = %d"", number1, number2, sum);
return 0;
}"
4,C Program to Multiply Two Floating-Point Numbers,48,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-input-output
• https://www.programiz.com/c-programming/c-operators
In this program, the user is asked to enter two numbers which are stored in variables a and b respectively.

printf(""Enter two numbers: "");
scanf(""%lf %lf"", &a, &b); 

Then, the product of a and b is evaluated and the result is stored in product.

product = a * b;


Finally, product is displayed on the screen using printf().

printf(""Product = %.2lf"", product);

Notice that, the result is rounded off to the second decimal place using %.2lf conversion character.",,"#include <stdio.h>
int main() {
double a, b, product;
printf(""Enter two numbers: "");
scanf(""%lf %lf"", &a, &b);
// Calculating product
product = a * b;
// %.2lf displays number up to 2 decimal point
printf(""Product = %.2lf"", product);
return 0;
}",245,"#include <stdio.h>
int main() {
double a, b;
printf(""Enter two numbers: "");
scanf(""%lf %lf"", &a, &b);
double product = a * b;
printf(""Product = %.2lf"", product);
return 0;
}"
5,C Program to Find ASCII Value of a Character,44,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-input-output

In C programming, a character variable holds ASCII value (an integer number between 0 and 127) rather than that character itself. This integer value is the ASCII code of the character.
For example, the ASCII value of 'A' is 65.
What this means is that, if you assign 'A' to a character variable, 65 is stored in the variable rather than 'A' itself.
Now, let's see how we can print the ASCII value of characters in C programming.

In this program, the user is asked to enter a character. The character is stored in variable c.
When %d format string is used, 71 (the ASCII value of G) is displayed.
When %c format string is used, 'G' itself is displayed.",,"#include <stdio.h>
int main() {
char c;
printf(""Enter a character: "");
scanf(""%c"", &c);
// %d displays the integer value of a character
// %c displays the actual character
printf(""ASCII value of %c = %d"", c, c);
return 0;
}",223,"#include <stdio.h>
int main() {
char c;
printf(""Enter a character: "");
scanf(""%c"", &c);
printf(""ASCII value of %c = %d"", c, c);
return 0;
}"
6,C Program to Compute Quotient and Remainder,43,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-input-output
• https://www.programiz.com/c-programming/c-operators

In this program, the user is asked to enter two integers (dividend and divisor). They are stored in variables dividend and divisor respectively.

printf(""Enter dividend: "");
scanf(""%d"", &dividend);
printf(""Enter divisor: "");
scanf(""%d"", &divisor);

Then the quotient is evaluated using / (the division operator), and stored in quotient.

quotient = dividend / divisor;


Similarly, the remainder is evaluated using % (the modulo operator) and stored in remainder.

remainder = dividend % divisor;

Finally, the quotient and remainder are displayed using printf().

printf(""Quotient = %d\n"", quotient);
printf(""Remainder = %d"", remainder);

Learn more about https://www.programiz.com/c-programming/c-operators.",,"#include <stdio.h>
int main() {
int dividend, divisor, quotient, remainder;
printf(""Enter dividend: "");
scanf(""%d"", &dividend);
printf(""Enter divisor: "");
scanf(""%d"", &divisor);
// Computes quotient
quotient = dividend / divisor;
// Computes remainder
remainder = dividend % divisor;
printf(""Quotient = %d\n"", quotient);
printf(""Remainder = %d"", remainder);
return 0;
}",369,"#include <stdio.h>
int main() {
int dividend, divisor, quotient, remainder;
printf(""Enter dividend: "");
scanf(""%d"", &dividend);
printf(""Enter divisor: "");
scanf(""%d"", &divisor);
quotient = dividend / divisor;
remainder = dividend % divisor;
printf(""Quotient = %d\n"", quotient);
printf(""Remainder = %d"", remainder);
return 0;
}"
7,"C Program to Find the Size of int, float, double and char",57,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-input-output
The sizeof(variable)operator computes the size of a variable. And, to print the result returned by sizeof, we use either %lu or %zu format specifier.

In this program, 4 variables intType, floatType, doubleType and charType are declared.
Then, the size of each variable is computed using the sizeof operator.",,"#include<stdio.h>
int main() {
int intType;
float floatType;
double doubleType;
char charType;
// sizeof evaluates the size of a variable
printf(""Size of int: %zu bytes\n"", sizeof(intType));
printf(""Size of float: %zu bytes\n"", sizeof(floatType));
printf(""Size of double: %zu bytes\n"", sizeof(doubleType));
printf(""Size of char: %zu byte\n"", sizeof(charType));
return 0;
}",372,"#include<stdio.h>
int main() {
int intType;
float floatType;
double doubleType;
char charType;
printf(""Size of int: %zu bytes\n"", sizeof(intType));
printf(""Size of float: %zu bytes\n"", sizeof(floatType));
printf(""Size of double: %zu bytes\n"", sizeof(doubleType));
printf(""Size of char: %zu byte\n"", sizeof(charType));
return 0;
}"
8,C Program to Demonstrate the Working of Keyword long,52,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-variables-constants
• https://www.programiz.com/c-programming/c-input-output

In this program, the sizeof operator is used to find the size of int, long, long long, double and long double variables.
As you can see, the size of long int and long double variables are larger than int and double variables, respectively.
By the way, the sizeof operator returns size_t (unsigned integral type).
The size_t data type is used to represent the size of an object. The format specifier used for size_t is %zu.
Note: The long keyword cannot be used with float and char types.",,"#include <stdio.h>
int main() {
int a;
long b; // equivalent to long int b;
long long c; // equivalent to long long int c;
double e;
long double f;
printf(""Size of int = %zu bytes \n"", sizeof(a));
printf(""Size of long int = %zu bytes\n"", sizeof(b));
printf(""Size of long long int = %zu bytes\n"", sizeof(c));
printf(""Size of double = %zu bytes\n"", sizeof(e));
printf(""Size of long double = %zu bytes\n"", sizeof(f));
return 0;
}",426,"#include <stdio.h>
int main() {
int a;
long b;
long long c;
double e;
long double f;
printf(""Size of int = %zu bytes \n"", sizeof(a));
printf(""Size of long int = %zu bytes\n"", sizeof(b));
printf(""Size of long long int = %zu bytes\n"", sizeof(c));
printf(""Size of double = %zu bytes\n"", sizeof(e));
printf(""Size of long double = %zu bytes\n"", sizeof(f));
return 0;
}"
9,C Program to Swap Two Numbers,29,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-data-types
• https://www.programiz.com/c-programming/c-operators
• https://www.programiz.com/c-programming/c-input-output

In the above program, the temp variable is assigned the value of the first variable.
Then, the value of the first variable is assigned to the second variable.

Finally, the temp (which holds the initial value of first) is assigned to second. This completes the swapping process.",,"#include<stdio.h>
int main() {
double first, second, temp;
printf(""Enter first number: "");
scanf(""%lf"", &first);
printf(""Enter second number: "");
scanf(""%lf"", &second);
// value of first is assigned to temp
temp = first;
// value of second is assigned to first
first = second;
// value of temp (initial value of first) is assigned to second
second = temp;
// %.2lf displays number up to 2 decimal points
printf(""\nAfter swapping, first number = %.2lf\n"", first);
printf(""After swapping, second number = %.2lf"", second);
return 0;
}",531,"#include<stdio.h>
int main() {
double first, second, temp;
printf(""Enter first number: "");
scanf(""%lf"", &first);
printf(""Enter second number: "");
scanf(""%lf"", &second);
temp = first;
first = second;
second = temp;
printf(""\nAfter swapping, first number = %.2lf\n"", first);
printf(""After swapping, second number = %.2lf"", second);
return 0;
}"
10,C Program to Check Whether a Number is Even or Odd,50,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-operators
• https://www.programiz.com/c-programming/c-if-else-statement
An even number is an integer that is exactly divisible by 2. For example: 0, 8, -24
An odd number is an integer that is not exactly divisible by 2. For example: 1, 7, -11, 15

In the program, the integer entered by the user is stored in the variable num.
Then, whether num is perfectly divisible by 2 or not is checked using the modulus % operator.

If the number is perfectly divisible by 2, test expression number%2 == 0 evaluates to 1 (true). This means the number is even.
However, if the test expression evaluates to 0 (false), the number is odd.",,"#include <stdio.h>
int main() {
int num;
printf(""Enter an integer: "");
scanf(""%d"", &num);
// true if num is perfectly divisible by 2
if(num % 2 == 0)
printf(""%d is even."", num);
else
printf(""%d is odd."", num);
return 0;
}",221,"#include <stdio.h>
int main() {
int num;
printf(""Enter an integer: "");
scanf(""%d"", &num);
if(num % 2 == 0)
printf(""%d is even."", num);
else
printf(""%d is odd."", num);
return 0;
}"
